[15-Apr-2018 15:42:09 UTC] PHP Notice:  Undefined index: file_uploaded in /home/ubuntu/workspace/input/upload.php on line 7
[15-Apr-2018 15:43:00 UTC] PHP Notice:  Undefined index: file_uploaded in /home/ubuntu/workspace/input/upload.php on line 7
[15-Apr-2018 15:44:08 UTC] PHP Notice:  Undefined index: file_uploaded in /home/ubuntu/workspace/input/upload.php on line 7
[15-Apr-2018 16:34:33 UTC] PHP Warning:  fopen(./input/tmp//tmp/phppjtdLwhtml): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 24
[15-Apr-2018 16:34:33 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 25
[15-Apr-2018 16:34:33 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 26
[15-Apr-2018 16:37:48 UTC] PHP Warning:  fopen(./input/tmp//tmp/phpIhnivG.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 24
[15-Apr-2018 16:37:48 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 25
[15-Apr-2018 16:37:48 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 26
[15-Apr-2018 16:39:53 UTC] PHP Warning:  fopen(./input/tmp//tmp/phpwTTKIc.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 24
[15-Apr-2018 16:39:53 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 25
[15-Apr-2018 16:39:53 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 26
[15-Apr-2018 16:45:45 UTC] PHP Warning:  fopen(./input/tmp//tmp/php8DRxHg.html): failed to open stream: No such file or directory in /home/ubuntu/workspace/input/upload.php on line 25
[15-Apr-2018 16:45:45 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 26
[15-Apr-2018 16:45:45 UTC] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/ubuntu/workspace/input/upload.php on line 27
